Title,URL,Author,Date of Publication,Was data used?,Data Source,LA Times Category,Data Type
Former aide to Gavin Newsom arrested on domestic violence charges,https://www.latimes.com/california/story/2020-12-03/nathan-ballard-former-aide-to-gavin-newsom-arrested,PHIL WILLON,2020-12-03,Y,"Napa County Sheriff's Office, Marin Magazine, Politico",California,Arrest Data
"Reporters, legal observers cry foul after being caught up in LAPD’s mass arrests at Echo Park protest",https://www.latimes.com/california/story/2021-03-26/echo-park-homeless-encampment-reporters-lapd-mass-arrest,KEVIN RECTOR,2021-03-26,Y,"Reporters, legal observers, LAPD, ACLU of Southern California, National Lawyers Guild",Opinion,Arrest Data
Suspected Southern California drug dealers charged in 11 overdose deaths,https://www.latimes.com/california/story/2021-05-13/fentanyl-overdose-death-arrests-drug-trafficking,MICHAEL FINNEGAN,2021-05-13,Y,"Tracy L. Wilkison, the acting U.S. attorney in Los Angeles, Newport Beach Police, Snapchat, CDC, DEA",California,Arrest Data
How law enforcement uses social media campaigns to make arrests,https://www.latimes.com/california/newsletter/2021-06-30/arrests-social-media-campaigns-essential-california,JUSTIN RAY,2021-06-30,Y,"Metro reporter Maria L. La Ganga, court documents, members of law enforcement",California,Arrest Data
Beverly Hills accused of creating police task force that disproportionately arrested Black people,https://www.latimes.com/california/story/2021-09-01/beverly-hills-arrest-black-people,MATTHEW ORMSETH,2021-09-01,Y,"lawyer Bradley Gage, lawyer Benjamin Crump, Beverly Hills Police",California,Arrest Data
Op-Ed: Arresting reporters in L.A. sends a dangerous message to repressive governments,https://www.latimes.com/opinion/story/2021-12-07/los-angeles-police-journalists-arrests-reforms,JOEL SIMON,2021-12-07,Y,"LAPD, Youtube, U.S. Press Freedom Tracker, CNN, CPJ, Los Angeles Press Club, California Legislative Information, Spectrum News 1,",Opinion,Arrest Data 
UCLA instructor’s behavior alarmed students before threats of mass campus violence,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-02/ucla-shutdown-mass-shooting-threat-warning-signs%3F_amp%3Dtrue,"ALEJANDRA REYES-VELARDE, NATHAN SOLIS, RICHARD WINTON, TERESA WATANABE",2022-02-02,Y,"Boulder Police, Youtube, Twitter, UCLA, University of California, Matthew C. Harris",California,Arrest Data 
Couple arrested in connection with robbery during ‘sugar daddy’ meet-up at Thousand Oaks hotel,https://www.latimes.com/california/story/2022-02-04/couple-arrested-in-sugar-daddy-robbery-at-thousand-oaks-hotel?_amp=tru,CHRISTIAN MARTINEZ,2022-02-04,Y,Ventura County Sheriff's Office ,California,Arrest Data 
3 arrested in shooting death of Tijuana journalist Lourdes Maldonado López,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-09/suspects-tijuana-journalist-lourdes-maldonado%3F_amp%3Dtrue,"WENDY FRY, ALEXANDRA MENDOZA
",2022-02-09,Y,"Mexican President Andrés Manuel López Obrador, Rosa Icela Rodriguez, Mexico’s secretary of public safety, Mexico’s subsecretary of public safety, Ricardo Mejía, Baja California Atty. Gen. Ricardo Iván Carpio Sánchez",California,Arrest Data 
Two arrested in ‘vehicle takeover’ of Beverly Hills intersection,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-19/two-arrested-at-beverly-hills-vehicle-takeover%3F_amp%3Dtrue,CONNOR SHEETS,2022-02-19,Y,Beverly Hills Police Department,California,Arrest Data 
Ten arrested in killing of Tijuana photojournalist,https://www.google.com/amp/s/www.latimes.com/world-nation/story/2022-02-26/ten-arrested-in-killing-of-tijuana-photojournalist-margarito-martinez-esquivel%3F_amp%3Dtrue,"ALEXANDRA MENDOZA, KRISTINA DAVIS, WENDY FRY",2022-02-26,Y,"SAN DIEGO UNION-TRIBUNE,  several Mexican agencies, including the Defense Ministry, the federal prosecutor’s office, military police, the navy and Baja California authorities.",World-Nation,Arrest Data 
Two suspects tied to three killings in East Los Angeles,https://www.latimes.com/california/story/2021-08-18/two-suspects-tied-to-three-killings-in-east-los-angeles,Matthew Ormseth,2018-08-18,Y,"LA County Sheriff’s Department, LA County Board of Supervisors, Bertha Avalos, Llisel Robles, Rozelle Lopez",California,Homicide
Crime is down in Los Angeles for the first time in five years,https://www.latimes.com/local/lanow/la-me-lapd-crime-stats-20181229-story.html,Cindy Chang,2018-12-29,Y,"LAPD, LA County Sheriff’s Department, SFPD, Oakland PD, UC Irvine, Central Area Neighborhood Development Council, Mid City West Community Council, Stop LAPD Spying Coalition, T. Guerra, Brian van der Brug",California,Homicide
"Homicides in Chicago decline in 2018, but still dwarf totals in Los Angeles and New York",https://www.latimes.com/nation/la-na-chicago-homicides-fall-20190101-story.html,Associated Press,2019-01-01,Y,"Chicago PD, NYPD, LAPD, Donald Trump, World and Nation, Joshua Lott",World and nation,Homicide
Nipsey Hussle was one of 26 people shot across L.A. in ‘troubling surge’ over last week,https://www.latimes.com/local/lanow/la-me-nipsey-hussle-shooting-crime-stats-20190401-story.html,Richard Winton,2019-04-01,Y,"LAPD, LA Times, Genaro Molina",California,Homicide
