Title,URL,Author,Date of Publication,Was data used?,Data Source,LA Times Category,Data Type
Prosecutors accuse 9 alleged Crips members of carrying out retaliatory killings in South L.A.,https://www.latimes.com/california/story/2022-02-04/alleged-kitchen-crips-members-charged-in-series-of-south-la-killings,"Kevin Rector, Matthew Ormseth",2022-02-04,Y,"LAPD, LA County Dist. Atty. George Gascón, anonymous man,, Mel Melcon",California,Homicide
Sheriff’s officials seek public’s help to find suspect in Palmdale homicide,https://www.latimes.com/california/story/2022-02-08/suspect-in-palmdale-killing-sought-by-la-county-sheriffs-department,Christian Martinez,2022-02-08,Y,LA County Sheriff's Department,California,Homicide
Police have killed 958 people in LA country since 2000,https://www.latimes.com/projects/los-angeles-police-killings-database/,LA Times Staff,2022-02-22,Y,"LA County Coroner's Office, the Times Homicide Report",The Homicide Report,Homicide
"How many records can Southern California home prices break? Last year, 10",https://www.latimes.com/business/story/2022-01-21/southern-california-median-home-price-nears-700-000-record-high-december-2021,ANDREW KHOURI,2022-01-21,Y,"DQNews, Redfin, Zillow, Hogn Burns Real Estate Consulting, Rodeo Realty",Business,Housing Data
"In Southern California, a  slight slowdown in the housing market still means record prices",https://www.latimes.com/business/story/2021-12-16/southern-california-november-home-prices-real-estate-market-record-high,ANDREW KHOURI,2021-12-16,Y,"DQNews, CoreLogic",Business,Housing Data
"""It's still not easy"": SoCal home-buying frenzy cools - a bit",https://www.latimes.com/business/story/2021-11-18/southern-california-home-prices-up-14-percent-october-real-estate-red-hot-market,ANDREW KHOURI,2021-11-18,Y,"DQNews,  CoreLogic, Redfin, Berkshire Hathaway HomeServices ",Business,Housing Data
California holds 70% of the country's priciest ZIP codes for home buyers,https://www.latimes.com/business/story/2021-11-18/california-holds-70-percent-of-the-countrys-priciest-zip-codes-for-home-buyers,JACK FLEMMING,2021-11-18,Y,"PropertyShark, Compass. Westsode Estate Agemcy",Business,Housing Data
"Hot, hot, hot... warm: SoCal home values hit new record, but price rises are slowing",https://www.latimes.com/business/story/2021-10-20/southern-california-home-prices,ANDREW KHOURI,2021-10-20,Y,"DQNews, CoreLogic, Highland Premiere Real Estate, USC Lusk Center for Real Estate, California Assn. of Realtors, Freddie Mac",Business,Housing Data
Real Estate newsletter: The $!-million home is everywhere,https://www.latimes.com/business/newsletter/2021-09-25/real-estate-newsletter-20210925-hot-property,JACK FLEMMING,2021-09-25,Y,"DQNews, Zillow, NPR, USA Today",Business,Housing Data
These are L.A.'s new million-dollar neighborhoods,https://www.latimes.com/business/story/2021-09-21/buying-a-house-la-brace-for-expensive-real-estate,"ANDREW KHOURI, JACK FLEMMING",2021-09-22,Y,Zillow,Business,Housing Data
How the pandemic helped scatter $1-million homes across L.A.,https://www.latimes.com/business/story/2021-09-21/covid-changed-la-real-estate-making-one-million-homes-common-place,"ANDREW KHOURI, JACK FLEMMING",2021-09-21,Y,"Zillow, Multiple Listing Service, Redfin, John Burns Real Estate Consulting, Figure 8 Realty, ",Business,Housing Data
The crazy SoCal housing market is cooling.  But don't expect a bargain,https://www.latimes.com/business/story/2021-09-20/southern-california-home-prices-slightly-cooling-august-2021,ANDREW KHOURI,2021-09-20,Y,"DQNews, CoreLogic",Business,Housing Data
"Southern California home prices keep climbing, hit new record in July",https://www.latimes.com/business/story/2021-08-18/southern-california-home-prices-keep-climbing-hit-new-record-in-july,ANDREW KHOURI,2021-08-18,Y,"DQNews, California Assn. of Realtors",Business,Housing Data
"""A feeding frenzy"": Southern California home prices up 15%",https://www.latimes.com/business/story/2021-04-21/southern-california-home-prices-continue-wild-ride-in-march,ANDREW KHOURI,2021-04-21,Y,"DQNews, USC Lusk Center for Real Estate, John Burns Real Estate Consulting",Business,Housing Data
Southern California home priuces reach all-time high in February,https://www.latimes.com/business/story/2021-03-23/southern-california-median-home-price-sets-new-record,ANDREW KHOURI,2021-03-23,Y,"DQNews, Redfin",Business,Housing Data
"Southern California home prices, sales jump 13% in January",https://www.latimes.com/business/story/2021-02-22/southern-california-january-home-prices-jump, ,2021-02-22,Y,DQNews,Business,Housing Data
The housing market is red hot. How long can it last?,https://www.latimes.com/business/story/2020-12-22/housing-market-red-hot-how-long-can-it-last,ANDREW KHOURI,2020-12-22,Y,"DQNews, Realtor.com, John Burns Real Estate Consulting, USC Lusk Center for Real Estate",Business,Housing Data
Southern California home prices rices nearly 11%; sales jump too ,https://www.latimes.com/business/story/2020-12-17/southern-california-median-home-price-sales-november,ANDREW KHOURI,2020-12-17,Y,"DQNews, CoreLogic, Tri Pointe Group",Business,Housing Data
"Southern California median home price up 15% in September, sales jump as well",https://www.latimes.com/business/story/2020-10-21/southern-california-home-prices-released-for-september,ANDREW KHOURI,2020-10-21,Y,"DQNews, CoreLogic, Redfin, California Assn. of Realtors",Business,Housing Data
"L.A. rent is falling, with some big drops in luxury buildings",https://www.latimes.com/homeless-housing/story/2020-08-10/la-rent-is-falling-high-end,ANDREW KHOURI,2020-08-10,Y,"Zillow, CoStar, RealPage, Pacifc Crest Real Estate. UCLA Luskin Insititute on Inequality and Democracy",Housing & Homelessness,Housing Data
Los Angeles' average rent fell 3% in May from a year earlier as coronavirus infected the economy,latimes.com/homeless-housing/story/2020-06-05/coronavirus-economy-los-angeles-rents-fall-3-percent-may,ANDREW KHOURI,2020-06-05,Y,"RealPage, Zillow, Eberly Co.",Housing & Homelessness,Housing Data
"Southern California home sales are plunging. Prices haven't followed, yet",https://www.latimes.com/homeless-housing/story/2020-04-23/southern-california-housing-market-coronavirus,ANDREW KHOURI,2020-04-23,Y,"Zillow, U.S. Labor Department",Housing & Homelessness,Housing Data
"Dead deals, slashed prices: Coronavirus drags down Southern California home sales",https://www.latimes.com/homeless-housing/story/2020-03-27/southern-california-housing-market-coronavirus,ANDREW KHOURI,2020-03-27,Y,"Mortgage Bankers Assn., California Assn. of Realtors, Finance of America Mortgage, Zillow, USC Lusk Center for Real Estate, Redfin, Freddie Mac, Fannie Mae, HSH Associates, Active Realty",Housing & Homelessness,Housing Data
Southern California home prices were flat and sales fell in August,https://www.latimes.com/business/story/2019-09-25/southern-california-home-prices-were-flat-and-sales-fell-in-august,ANDREW KHOURI,2019-09-25,Y,"CoreLogic, Freddie Mac, Ziman Center for Real Estate at UCLA, UCLA Anderson",Business,Housing Data
"Southern California home sales plunge in January, prices rise modestly",https://www.latimes.com/business/la-fi-socal-home-prices-slowdown-20190227-story.html,ANDREW KHOURI,2019-02-27,Y,"CoreLogic, Zillow, Freddie Mac, California Assn. of Realtors",Business,Housing Data
Southern California home sales drop 12% in November as price gains slow,https://www.latimes.com/business/la-fi-home-prices-20181227-story.html,ANDREW KHOURI,2018-12-27,Y,"CoreLogic, Zillow, California Assn. of Realtors, USS Lusk Center for Real Estate",Business,Housing Data
Mortgage rates rise to a seven-year high,https://www.latimes.com/business/la-fi-mortgage-rates-20181011-story.html,ANDREW KHOURI,2018-10-11,Y,"Freddie Mac, Hoag Center for Real Estate and Finance",Business,Housing Data
"Southern California median home price jumps to $536,250 as sales fall",https://www.latimes.com/business/la-fi-home-prices-20180724-story.html,ANDREW KHOURI,2018-07-24,Y,"CoreLogic, Redfin, California Assn. of realtors, Mortgage Grader, Rodea Realty",Business,Housing Data
